PAD NO.,CI NO.,DATE,COMPANY,DETAILS,PO NUMBER,AMOUNT,STATUS/REMARKS
,866,05/22/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"71,308.00",CANCELLED
,867,05/22/23,SUTHERLAND GLOBAL SERVICES PHILIPPINES INC.,VARIOUS ITEMS,,"75,308.00",
,868,05/26/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TARP FOR ROLLUP, 3@450",,"1,350.00",
,869,05/26/23,FPS TECH PHILIPPINES INC.,"GOLF UMBRELLA W/ PRINT, 25@310",,"7,750.00",
,870,05/31/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TARPAULIN FOR ROLLUP, 5@450",,"2,250.00",
,871,07/29/23,PHILHEALTH XI,"TARPAULIN BACKDROP 4 FT X 7 FT, 1@504",,504.00,
,872,06/02/23,PSA XI,"TSHIRT (THE CONDUCT OF THE 2022 ANNUAL SURVEY OF PHILIPPINE BUSINESS AND INDUSTRY), 50@275",,"13,750.00",
,873,06/02/23,PAG-IBIG FUND,ACRYLIC FRAMELESS BOLT POSTER FOR PAG-IBIG FUND DIGOS BRANCH,DIG23006,"12,900.00",
,874,06/08/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"GOLF UMBRELLA W/ TOUCH BUTTON HANDLE, 10@350",112592,"3,500.00",
,875,06/02/23,PPA XI,"BAG, TOTE W/ PRINT, 26@200",DAV-6839-23,"5,200.00",
,876,06/12/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"MUGS, 50@60",184012,"3,000.00",
,877,06/13/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"MUGS (FATHER'S DAY), 100@60",184015,"6,000.00",
,878,06/14/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,DDH NATIONAL KIDNEY MONTH - HEALTHY KIDNEYS FOR A HEALTHY PILIPINAS,184048,"15,580.00",
,879,06/14/23,PAG-IBIG FUND,VARIOUS ITEMS,,"9,530.00",
,880,06/16/23,NIA (DAVAO DE ORO),"POLOSHIRT COTTON, 80@545; SPORTS UNIFORM (SUBLI TSHIRT AND SHORTS) , 3@700; SPORTS UNIFORM, 5@450",,"47,950.00",
,881,,PSA XI,"POLOSHIRT DRIFIT SUBLIMATION, 356@400",SOCD-2023-03-12,"142,400.00",
,882,06/16/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,"POLOSHIRT, 17@380",184048,"6,460.00",
,883,05/23/23,DMSFI,"SINGLE FACE LIGHTED SIGNAGE USING ALUMINUM CLADDING AND ACRYLIC BUILDUP, 1 LOT@210000",22-194,"210,000.00",
,884,06/19/23,DMSFI,"4 X 6 FT TARPAULIN, 2@260; 8 X 16 FT TARPAULIN, 1@1920",,"2,640.00",
,885,06/20/23,FULL POTENTIAL SOLUTIONS,"1ST ACCOMPLISHMENT ON WALL BRANDING SOA (APRIL 28, 2023), 1 LOT@418997.50",,"418,997.50",CANCELLED
,886,06/20/23,FULL POTENTIAL SOLUTIONS,"2ND ACCOMPLISHMENT ON WALL BRANDING SOAA (MAY 26, 2023), 1 LOT@71895",,"71,895.00",CANCELLED
,887,06/15/23,PSA XI,"UMBRELLA FOLDABLE AUTOMATIC UV PROTECTION W/ COVER - AUTOMATIC OPEN/CLOSE W/ LOGO ULAF, 62@250",SOCD-2023-06-05,"15,500.00",
,888,06/26/23,DILG (DAVAO REGION) ,"PVC MADE ARTA ID, 236@110",2023-05-176,"25,960.00",
,889,,NHA XI,"POLOSHIRT W/ 3 COMBINATION EMBROIDERY, 114@545; SPORTS UNIFORM SUBLIMATION, 11@700; SPORTS UNIFORM SUBLIMATION, 22@450",MISC-2023-06-103,"79,730.00",
,890,,NIA LUPON,"POLOSHIRT COMBINATION, 89@700; SPORTS UNIFORM TSHIRT&SHORT, 6@900; SPORTS UNIFORM TSHIRT ONLY, 6@500",,"70,700.00",
,891,06/30/23,ZUMMIT FOODS CORPORATION,"POLOSHIRT W/ ZUMMIT FOODS CORPORATION EMBROIDERY LOGO, 48@370",XO-968,"17,760.00",
,892,06/30/23,DAVAO YELLOW GOLD FOODS INC.,POLOSHIRT W/ DAVAO YELLOW GOLD FOODS INC. EMBROIDERY LOGO,XO-969,"5,550.00",
,893,06/30/23,JEWM AGRO-INDUSTRIAL CORPORATION,"ID LANYARD 3/4, 17@65",12858,"1,105.00",
,894,07/01/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,VARIOUS ITEMS,,"4,930.00",CANCELLED
,895,07/01/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"ROLLUP BANNER TARP ONLY, 7@450",,"3,150.00",CANCELLED
,896,07/03/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"GENESYS STICKER 145 CM X 30 CM, 1@375",,375.00,CANCELLED
,897,07/05/23,BUREAU OF CUSTOMS,TARPAULINS,2023-06-0045,"40,000.00",
,898,06/04/23,PSA XI,"TOWEL AND HAND SANITIZER, 60@495; BATH TOWEL CONDITIONER SHAMPOO BODY WASH, 10@1310",SOCD-2023-06-20,"42,800.00",
,899,07/05/23,DMSFI,"TSHIRT SUBLIMATION, 239@350",,"83,650.00",
,900,07/05/23,DMSFI,"TSHIRT SUBLIMATION, 3@350",,"1,050.00",
4,901,07/04/23,PHILHEALTH XI,"PRESIDENT OF THE PHILIPPINES PORTRAIT, 5@300; TARPAULIN STANDEE W/ MECHANISM, 3@1500, TARPAULIN 2.5 FT X 2 FT, 16@90",23-06-116,"7,440.00",
,902,07/04/23,PHILHEALTH XI,"TARPAULIN BACKDROP 8 FT X 16 FT, 1@2304; TARPAULIN WELCOME BANNER 9 FT X 6 FT, 2@240",23-06-123,"2,784.00",
,903,07/05/23,DMSFI,"TARPAULIN UNIFORM, 2@930",,"1,860.00",
,904,,USEP,"CUSTOMIZE CORPORATE JACKET, 24@1550",2023-05-0193,"37,200.00",
,905,07/11/23,PSA XI,"ID LANYARD PRINTING, 100@75",23-06CRASD-089,"7,500.00",
,906,,PSA XI,"PSA 10TH ANNIVERSARY OFFICIAL POLOSHIRT, 222@450",SOCD-2023-06-14,"99,900.00",
,907,,PSA XI,"POLOSHIRT FOR 2023 ASTIG TECH, 35@445",SOCD-2023-06-25,"15,575.00",
,908,,PSA XI,"POLOSHIRTS 2023, 24@450",SOCD-2023-05-07,"10,800.00",
,909,07/12/23,PCA XI,"TABLE NAME TAG HOLDER ACRYLIC 3 X 12, 15@300",2023-07-0090,"4,500.00",
,910,07/12/23,DMSFI,"9 X 13 FT NURSING AND MIDWIFERY, 1@1755",,"1,755.00",
,911,07/14/23,BRGY 76-A BUCANA,"VOLLEYBAALL UNIFORM ON SOCIO-CULTURAL ACTIVITIES, 25@750; TSHIRT ON REPUBLIC ACT 9710 MAGNA CARTA OF WOMEN, 60@450",2023-07-074,"45,750.00",
,912,06/23/23,FULL POTENTIAL SOLUTIONS PHILIPPINES,"TARPAULIN LGBT, 1@432",,432.00,CANCELLED
,913,07/17/23,DAVAO DOCTORS HOSPITAL (CLINICA HILARIO) INC.,LINEN SUBLIMATION FOR BED SHEETS (1000 PCS BED SHEETS) 2000@32,184834,"64,000.00",
,914,07/13/23,FULL POTENTIAL SOLUTIONS PHILIPPINES,"PROPS STICK FOR PHOTOBOOTH (SINTRA W/ STICK), 12@150; CIRCLE SINTRA 22"" X 22""",,"3,960.00",CANCELLED
,915,07/19/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"VAN MATTING, 1@8500",111353,"8,500.00",
,916,07/19/23,IBEX GLOBAL SOLUTIONS PHILIPPINES INC,"TOYOTA GL GRANDIA - DRESS UP, 1@33000",112130,"33,000.00",
